"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2836997750893227751",="2836997750893227751","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","4.90","1","AQZH35","颜色分类：【甜味型】甜酒曲8g*5袋（无赠品）","null","null","交易成功","AQZH35",="2022082222001147301418791607","4.76","4.73","没有申请退款","无退款申请","2022-08-22 19:20:23","2022-08-22 19:20:28"
="2835778824380909929",="2835778824380909929","安琪高活性干酵母粉5g低糖型耐高糖型发孝包子发面发酵粉家用商用","12.90","1","AQZH03","颜色分类：5g*20袋【无赠品】","null","null","交易成功","AQZH03",="2022082222001112991451802329","12.81","12.81","没有申请退款","无退款申请","2022-08-22 19:20:15","2022-08-22 19:20:24"
="2836662337145668228",="2836662337145668228","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","7.90","1","null","口味：青椒牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022082222001109851452908249","7.51","7.51","没有申请退款","无退款申请","2022-08-22 19:19:32","2022-08-22 19:19:34"
="1650217080452091876",="1650217080452091876","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","15.80","1","null","口味：【买就送5】青椒牛油150g*2袋","null","null","交易成功","null",="2022082222001175131434956533","15.01","15.01","没有申请退款","无退款申请","2022-08-22 19:18:58","2022-08-22 19:19:14"
="2836997822301784546",="2836997822301784546","草原红太阳羊蝎子调料包200g*3袋炖羊里脊酱料商用老北京火锅底料","44.90","1","null","口味：【鲜香】羊蝎子调料200g*5袋（送1包火锅底料+10包干碟）","null","null","交易成功","null",="2022082222001140801448695860","42.34","42.34","没有申请退款","无退款申请","2022-08-22 19:18:54","2022-08-22 19:19:08"
="1650951087341972173",="1650951087341972173","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","3.50","1","aqjq01","颜色分类：【甜味型】甜酒曲8g*1袋（品尝装）","null","null","交易成功","aqjq01",="2022082222001147301418472568","3.40","3.40","没有申请退款","无退款申请","2022-08-22 19:18:49","2022-08-22 19:18:55"
="2836658305837565011",="2836658305837565011","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","8.50","1","AQZH34","颜色分类：【甜味型】甜酒曲8g*10袋（无赠品）","null","null","卖家已发货，等待买家确认","AQZH34",="2022082222001155011419118288","8.25","8.25","没有申请退款","无退款申请","2022-08-22 19:18:37","2022-08-22 19:18:42"
="2836996274959797506",="2836996274959797506","海底捞蒜蓉小海鲜调味料70g蒜蓉粉丝扇贝酱爆海螺蒜蓉龙虾调味料","20.00","1","null","口味：蒜蓉花甲调味料70g*2袋","null","null","交易成功","null",="2022082222001112521459316706","11.26","11.26","没有申请退款","无退款申请","2022-08-22 19:18:31","2022-08-22 19:18:42"
="1650217440039419471",="1650217440039419471","味千拉面鸡汤猪骨汤拉面305g2人份带料包速食日式拌面条锅煮面","32.99","1","null","口味：猪骨汤305g*3袋（经典款）","null","null","交易成功","null",="2022082222001101541459026104","32.99","32.99","没有申请退款","无退款申请","2022-08-22 19:18:28","2022-08-22 19:18:56"
="1650916022980419471",="1650916022980419471","味千拉面鸡汤猪骨汤拉面305g2人份带料包速食日式拌面条锅煮面","32.99","1","null","口味：鸡汤300g*3袋","null","null","交易成功","null",="2022082222001101541458881262","32.99","32.99","没有申请退款","无退款申请","2022-08-22 19:17:46","2022-08-22 19:18:57"
