"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间"
="2857275182131379715",="2857275182131379715","陈克明宽挂面800g*3袋 热干面油泼面炸酱面烩面炒面凉面速食面条","20.90","1","null","口味：【3袋组合】宽挂面*1+细挂面*1+圆挂面*1","null","null","交易成功","null",="2022083122001189261448052410","20.28","20.28","没有申请退款","无退款申请","2022-08-31 19:56:43","2022-08-31 19:56:48"
="1659107857783437586",="1659107857783437586","安琪高活性干酵母粉5g低糖型耐高糖型发孝包子发面发酵粉家用商用","13.50","1","AQZH04","颜色分类：5g*20袋【送蒸布+切刀】","null","null","交易成功","AQZH04",="2022083122001191101401692508","13.44","13.44","没有申请退款","无退款申请","2022-08-31 19:56:38","2022-08-31 19:56:49"
="2856006684884352743",="2856006684884352743","海底捞火锅底料小包装一人份麻辣清油牛油番茄冬阴功菌汤一人食","59.90","1","null","口味：【不辣组合一人食】番茄3包+三鲜2包+菌汤2包（送电煮锅1个）","null","null","交易成功","null",="2022083122001121271451534554","58.11","58.11","没有申请退款","无退款申请","2022-08-31 19:55:49","2022-08-31 19:55:57"
="2857623591447948120",="2857623591447948120","安琪酵母粉5g12g整箱低糖高活性干酵母家用面包馒头专业发酵粉","29.90","1","AQZH54","颜色分类：【商超同款】酵母5g*50包","null","null","交易成功","AQZH54",="2022083122001120391417129366","29.01","29.01","没有申请退款","无退款申请","2022-08-31 19:54:55","2022-08-31 19:55:00"
="1659107569056262392",="1659107569056262392","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","1","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022083122001178111440738950","6.56","6.56","没有申请退款","无退款申请","2022-08-31 19:54:52","2022-08-31 19:55:01"
="2856005748280256658",="2856005748280256658","安琪高活性干酵母粉5g低糖型耐高糖型发孝包子发面发酵粉家用商用","21.90","1","AQZH17","颜色分类：12g*20袋（送蒸布+切刀）","null","null","交易成功","AQZH17",="2022083122001105001447596825","20.81","20.81","没有申请退款","无退款申请","2022-08-31 19:54:14","2022-08-31 19:54:18"
="2856005028326570400",="2856005028326570400","味千拉面猪骨汤拉面307g*5袋半干面速食面条日式豚骨拉面带汤料包","69.90","1","null","null","null","null","交易成功","null",="2022083122001130151404286945","48.11","48.11","没有申请退款","无退款申请","2022-08-31 19:54:05","2022-08-31 19:54:11"
="1659003566112379683",="1659003566112379683","海底捞火锅底料牛油番茄菌汤清汤清油麻辣家用小包装一人份重庆","6.90","2","null","口味：醇香牛油150g*1袋（2-3人份）","null","null","交易成功","null",="2022083122001110601410835782","13.11","13.11","没有申请退款","无退款申请","2022-08-31 19:53:54","2022-08-31 19:53:59"
="2857265210816088318",="2857265210816088318","安琪甜酒曲8g*20袋米酒做醪糟曲子甜酒月子酒糯米酒酿酵母甜味型","5.50","1","AQZH31","颜色分类：【甜味型】甜酒曲8g*5袋（送蒸布）","null","null","交易成功","AQZH31",="2022083122001132001448049422","5.34","5.34","没有申请退款","无退款申请","2022-08-31 19:53:12","2022-08-31 19:53:25"
="1659105517236621697",="1659105517236621697","草原红太阳烧烤酱炸串刷料酱奥尔良腌烤鸡翅料烤肉蘸料调料家用","5.80","30","null","口味：原味烧烤酱110g","null","null","交易成功","null",="2022083122001151291455558240","168.78","168.78","没有申请退款","无退款申请","2022-08-31 19:53:11","2022-08-31 19:53:19"
